H,Runs_renamed_renamed_renamed,HsHD,Ave_renamed_renamed_renamed,BF_renamed_renamed_renamed,SR_renamed_renamed_renamed,100_renamed_renamed_renamed,50_renamed_renamed_renamed,0_renamed_renamed_renamed,4s_renamed_renamed_renamed,6s_renamed_renamed_renamed
R Jadeja,163,25,11.64,165,98.78,0,0,2,7,4
T Latham,163,39,16.3,157,103.82,0,0,0,12,2
P Hennessy,162,71,23.14,132,122.72,0,1,1,11,7
N Param,160,72,32.0,118,135.59,0,1,0,12,6
R Chakabva,159,48,14.45,134,118.65,0,0,4,12,7
J Faulkner,159,41,14.45,138,115.21,0,0,0,7,5
M Henriques,159,62,31.8,122,130.32,0,2,0,8,7
A Mansale,159,38,11.35,151,105.29,0,0,4,14,5
M Arief,159,52,39.75,114,139.47,0,1,0,18,4
H Carlyon,156,50,19.5,131,119.08,0,1,1,21,3
H Klaasen,156,69,22.28,107,145.79,0,1,0,8,11
S Narine,155,30,10.33,138,112.31,0,0,2,13,5
N Greenwood,154,43,19.25,128,120.31,0,0,1,15,2
M Adair,152,38,15.2,118,128.81,0,0,1,8,7
N Collins,151,56,30.2,164,92.07,0,2,0,10,0
H Rutherford,151,62,21.57,105,143.8,0,1,1,12,9
N Coulter-Nile,150,34,13.63,120,125.0,0,0,3,10,10
I Ahmed,150,62,75.0,104,144.23,0,1,0,14,4
R Khan,149,33,13.54,124,120.16,0,0,4,9,9
V Chikkannaiah,148,70,24.66,167,88.62,0,1,0,10,2
W Fernando,148,37,14.8,156,94.87,0,0,1,9,3
O Bascome,147,37,13.36,147,100.0,0,0,1,12,8
C Wallace,146,27,18.25,122,119.67,0,0,1,14,2
K Janat,145,26,13.18,140,103.57,0,0,2,11,6
W Riaz,145,30,13.18,118,122.88,0,0,2,10,6
M Klinger,143,62,47.66,112,127.67,0,1,0,12,2
M Naim,143,81,47.66,107,133.64,0,1,0,17,3
E Khan,142,42,35.5,128,110.93,0,0,0,9,7
K Paul,142,29,20.28,123,115.44,0,0,0,8,8
U Amin,142,47,15.77,123,115.44,0,0,3,15,4
F Afzal,141,59,20.14,140,100.71,0,1,0,11,6
S Ali,141,59,35.25,87,162.06,0,1,0,17,8
S Periyalwar,140,105,70.0,91,153.84,1,0,1,15,6
G Phillips,140,56,15.55,140,100.0,0,1,0,9,5
S Pokhriyal,140,79,35.0,131,106.87,0,1,0,23,2
R Shah,140,53,70.0,108,129.62,0,1,0,8,8
A Douglas,138,47,17.25,131,105.34,0,0,0,10,8
L Ferbrache,138,55,17.25,142,97.18,0,1,0,6,3
H Patel,137,44,27.4,104,131.73,0,0,0,17,3
R Tari,137,28,15.22,117,117.09,0,0,2,6,5
Y Ebrahim,137,72,68.5,97,141.23,0,1,0,14,5
M Stoinis,136,33,15.11,117,116.23,0,0,1,14,2
F Khan,134,83,44.66,56,239.28,0,1,1,13,10
N Pathan,134,54,44.66,106,126.41,0,1,0,8,7
F Ashraf,133,21,11.08,110,120.9,0,0,4,7,8
C Morris,133,55,14.77,102,130.39,0,1,3,12,5
A Ahmed,131,102,65.5,101,129.7,1,0,0,6,6
P Rajapaksa,131,77,32.75,95,137.89,0,1,0,7,9
D D'Silva,130,29,32.5,146,89.04,0,0,1,9,0
S McKechnie,130,44,18.57,137,94.89,0,0,1,9,1
C Mutombodzi,129,32,14.33,133,96.99,0,0,2,9,2
S Malinga,128,27,7.11,153,83.66,0,0,6,9,4
H Walsh,128,28,16.0,129,99.22,0,0,0,8,3
M Stokes,127,29,18.14,152,83.55,0,0,0,10,0
N Shahzad,126,53,126.0,97,129.89,0,1,0,4,10
J Smuts,126,45,15.75,114,110.52,0,0,1,14,5
A Carey,125,37,13.88,101,123.76,0,0,0,10,4
A Mangal,124,40,20.66,78,158.97,0,0,0,10,8
M Asghar,124,45,31.0,91,136.26,0,0,0,13,5
S Muniandy,124,27,13.77,103,120.38,0,0,2,7,7
B Pai,124,52,31.0,141,87.94,0,1,0,6,1
R Ashwin,123,31,30.75,115,106.95,0,0,0,14,1
S Sharif,123,26,13.66,100,123.0,0,0,2,8,3
A Hawkins-Kay,122,27,15.25,136,89.7,0,0,1,8,0
K Jadhav,122,58,20.33,99,123.23,0,1,0,12,3
M Syahadat,122,41,20.33,102,119.6,0,0,0,9,6
C Onwuzulike,122,46,15.25,126,96.82,0,0,2,5,5
S Khan,122,29,13.55,96,127.08,0,0,2,6,6
D Bracewell,121,44,24.2,83,145.78,0,0,2,6,9
K Pandya,121,26,24.2,92,131.52,0,0,0,8,6
I Kayes,119,36,9.15,134,88.8,0,0,4,14,3
A Onikoyi,119,49,14.87,144,82.63,0,0,1,8,4
S Cheema,118,47,23.6,97,121.64,0,0,0,12,5
J Taylor,118,21,13.11,92,128.26,0,0,1,10,6
M Khan,117,29,10.63,106,110.37,0,0,1,7,5
M Mithun,117,47,11.7,125,93.6,0,0,2,9,4
N Khushi,117,29,19.5,77,151.94,0,0,2,6,8
H Singh,117,44,39.0,102,114.7,0,0,0,6,3
A Dutta,116,33,14.5,114,101.75,0,0,0,8,5
K Motlhanka,115,59,16.42,123,93.49,0,1,0,11,2
S Sohail,115,33,115.0,97,118.55,0,0,0,10,2
K Dasan,114,74,38.0,108,105.55,0,1,0,10,2
S Kaveri,114,43,22.8,146,78.08,0,0,0,9,1
W Parnell,114,29,28.5,96,118.75,0,0,0,10,3
C Suri,113,44,18.83,121,93.38,0,0,0,10,2
M Abdulla,112,42,37.33,100,112.0,0,0,0,11,2
F Ahmed,112,62,56.0,72,155.55,0,1,1,6,8
J Malhotra,112,38,18.66,104,107.69,0,0,0,12,2
M Boota,112,20,14.0,100,112.0,0,0,1,7,5
M Muhammad,112,30,16.0,135,82.96,0,0,0,5,3
J Holder,111,26,12.33,84,132.14,0,0,2,10,4
I Butt,111,58,27.75,101,109.9,0,2,2,5,6
J Shannon,111,60,13.87,84,132.14,0,1,1,12,5
A Lark,110,43,27.5,121,90.9,0,0,1,15,0
T Gugten,109,40,15.57,81,134.56,0,0,1,4,6
M Saifuddin,108,39,18.0,95,113.68,0,0,0,9,3
O Bascome,107,22,10.7,117,91.45,0,0,0,12,3
S Ngoche,107,38,8.23,118,90.67,0,0,2,5,4
G Thompson,107,44,15.28,108,99.07,0,0,2,14,1
V Vijh,107,64,53.5,119,89.91,0,1,0,13,1
K Doriga,106,43,10.6,103,102.91,0,0,0,3,3
N Maiolo,106,39,17.66,104,101.92,0,0,0,11,2
M Dai,105,31,13.12,128,82.03,0,0,0,4,0
O Hairs,105,26,15.0,64,164.06,0,0,2,4,10
N Laegsgaard,105,39,15.0,96,109.37,0,0,0,11,2
M Mosehle,105,36,21.0,65,161.53,0,0,0,6,9
M Bhavsar,104,38,17.33,88,118.18,0,0,0,10,1
L Dunbar,104,104,104.0,62,167.74,1,0,1,5,10
S Ahmed,104,37,11.55,83,125.3,0,0,3,14,0
R Abdul,102,37,51.0,103,99.02,0,0,0,7,3
S Kumar,102,42,14.57,89,114.6,0,0,0,9,3
L Tucker,102,22,10.2,99,103.03,0,0,1,10,1
A Uddin,101,40,33.66,53,190.56,0,0,0,11,5
M Cooray,101,56,50.5,77,131.16,0,1,0,12,3
S Jora,101,53,20.2,83,121.68,0,1,1,5,4
A Lalcheta,101,20,12.62,82,123.17,0,0,0,9,4
M Nurji,101,36,50.5,59,171.18,0,0,0,8,6
T Perera,101,30,16.83,127,79.52,0,0,0,16,0
V Shankar,101,43,25.25,73,138.35,0,0,0,11,5
H Tariq,100,33,10.0,82,121.95,0,0,2,4,5
T Maruma,100,23,11.11,109,91.74,0,0,1,6,4
B Stephenson,100,48,33.33,72,138.88,0,0,0,9,7
B Dunk,99,32,19.8,69,143.47,0,0,0,8,6
B Leede,98,33,16.33,114,85.96,0,0,0,4,2
I Bhima,98,52,24.5,88,111.36,0,1,2,13,2
J Prakash,98,25,12.25,78,125.64,0,0,2,9,3
B McDermott,98,32,14.0,105,93.33,0,0,2,6,2
T Musakanda,98,43,16.33,80,122.5,0,0,2,7,2
B Fernando,97,78,48.5,73,132.87,0,1,0,10,3
D Mitchell,97,30,16.16,79,122.78,0,0,0,5,4
A Ramly,97,33,13.85,59,164.4,0,0,1,3,9
S Samarawickrama,97,32,13.85,93,104.3,0,0,1,9,0
A Staal,97,28,16.16,79,122.78,0,0,2,5,5
G Strydom,97,49,16.16,89,108.98,0,0,2,6,5
Z Ibrahim,97,27,12.12,89,108.98,0,0,2,7,5
A Raza,96,22,13.71,123,78.04,0,0,1,2,4
R Shigiwal,96,53,32.0,78,123.07,0,1,0,3,8
M Udawatte,96,25,12.0,87,110.34,0,0,2,10,2
S Purat,95,88,47.5,53,179.24,0,1,1,8,7
H Jordaan,94,37,31.33,107,87.85,0,0,0,8,0
M Miraz,94,19,10.44,80,117.5,0,0,2,7,4
J Tucker,94,50,23.5,97,96.9,0,1,0,11,1
J Cutinho,93,46,31.0,98,94.89,0,0,0,7,4
W Ghauri,93,44,31.0,80,116.25,0,0,0,10,2
J Denly,92,30,11.5,93,98.92,0,0,2,11,1
A Arudin,91,32,7.58,98,92.85,0,0,3,10,2
J Mohammed,90,23,18.0,103,87.37,0,0,1,9,1
